index,Name,Netflows,First_Protocol,Second_Protocol,Third_Protocol,p1_d,p2_d,p3_d,duration,max_d,min_d,#packets,Avg_bps,Avg_pps,Avg_bpp,#Bytes,#sp,#dp,first_sp,second_sp,third_sp,first_dp,second_dp,third_dp,p1_ip,p2_ip,p3_ip,p1_ib,p2_ib,p3_ib,Type,Cryptocurrency,Id_Cryptocurrency
539,277-csves/0.csv,121,TCP,UDP,,166.512,194.90200000000002,238.833,20513.526,272.522,0.0,5932,126039,20,787,4670448,61,55,443,123.0,80.0,443,123.0,1900.0,6.0,7.0,8.0,120.0,256.0,696.0,not_mine,,0
109,18-csves/1.csv,5,TCP,,,0.0,0.0,197.679,395.38699999999994,197.708,0.0,37,520,0,347,12858,3,3,3332,52745.0,52760.0,3332,52745.0,52760.0,1.0,2.0,13.0,20.0,40.0,418.0,mine,Bitcoin,1
213,34-csves/7.csv,2,TCP,,,278.21825,278.2185,278.21875,556.437,278.219,278.218,38,498,0,455,17327,2,2,3337,49875.0,,3337,49875.0,,19.0,19.0,19.0,4521.75,8663.5,12805.25,mine,Bitcash,2
172,28-csves/4.csv,6,TCP,,,60.40225,240.7755,244.0775,972.3939999999999,245.178,0.209,80,513,0,389,31194,4,4,3332,51812.0,51815.0,3332,51812.0,51815.0,8.5,16.5,17.0,483.0,1114.5,10307.25,mine,Bitcoin,1
72,21-csves/0.csv,4,TCP,,,272.008,272.0445,272.08099999999996,1088.178,272.08099999999996,272.008,52,171,0,112,5840,2,2,51085,14444.0,,51085,14444.0,,13.0,13.0,13.0,770.0,1460.0,2150.0,mine,Monero,5
111,18-csves/3.csv,2,TCP,,,244.87525,244.8755,244.87575,489.751,244.87599999999998,244.875,40,469,0,359,14378,2,2,3332,52776.0,,3332,52776.0,,18.0,20.0,22.0,3833.5,7189.0,10544.5,mine,Bitcoin,1
166,39-csves/1.csv,2,TCP,,,290.82099999999997,290.82099999999997,290.82099999999997,581.6419999999999,290.82099999999997,290.82099999999997,43,570,0,482,20757,2,2,3333,56490.0,,3333,56490.0,,21.25,21.5,21.75,5462.25,10378.5,15294.75,mine,Litecoin,3
457,235-csves/0.csv,26,TCP,UDP,,75.77600000000001,104.59899999999999,135.168,2569.024000000001,180.99599999999998,0.0,134,700,0,122,16435,16,15,443,80.0,42254.0,443,80.0,1900.0,3.25,4.0,5.75,96.0,128.0,248.0,not_mine,,0
584,299-csves/1.csv,63,TCP,UDP,,75.77850000000002,104.148,135.1605,6042.852,149.952,0.0,325,1240,1,84,27477,35,33,443,80.0,123.0,443,80.0,1900.0,4.0,5.0,6.0,128.0,160.0,248.0,not_mine,,0
950,489-csves/0.csv,82,TCP,UDP,,0.0,0.0,1.0470000000000002,286.797,43.042,0.0,5018,317087,43,912,4579971,31,25,443,80.0,47188.0,443,80.0,1900.0,1.0,1.0,3.0,32.0,32.0,237.0,not_mine,,0
61,10-csves/1.csv,2,TCP,,,59.41925000000001,59.4365,59.45375,118.873,59.471000000000004,59.402,8,351,0,326,2613,2,2,3332,55174.0,,3332,55174.0,,4.0,4.0,4.0,693.25,1306.5,1919.75,mine,Bitcoin,1
528,65-csves/0.csv,2,TCP,,,320.33299999999997,320.33299999999997,320.33299999999997,640.6659999999999,320.33299999999997,320.33299999999997,368,1226,1,133,49104,2,2,4444,49956.0,,4444,49956.0,,179.5,184.0,188.5,16673.5,24552.0,32430.5,mine,Etherium,4
575,71-csves/8.csv,34,TCP,,,8.02375,11.743,17.2515,470.3850000000001,38.296,0.0,319,1311,1,136,43396,2,2,58839,4444.0,,58839,4444.0,,6.25,9.0,11.75,472.0,678.0,1977.0,mine,Etherium,4
170,48-csves/3.csv,4,TCP,,,526.904,526.905,526.906,2107.62,526.906,526.904,48,103,0,142,6816,2,2,51085,14444.0,,51085,14444.0,,12.0,12.0,12.0,252.0,1704.0,3156.0,mine,Monero,5
366,58-csves/8.csv,2,TCP,,,545.5369999999999,545.5369999999999,545.5369999999999,1091.0739999999998,545.5369999999999,545.5369999999999,58,388,0,456,26491,2,2,59090,3337.0,,59090,3337.0,,29.0,29.0,29.0,6912.75,13245.5,19578.25,mine,Bitcash,2
77,22-csves/1.csv,4,TCP,,,564.132,564.1324999999998,564.133,2256.53,564.133,564.132,64,114,0,125,8044,2,2,51085,14444.0,,51085,14444.0,,16.0,16.0,16.0,660.0,2011.0,3362.0,mine,Monero,5
361,41-csves/5.csv,2,TCP,,,325.802,325.802,325.802,651.604,325.802,325.802,358,1195,1,135,48683,2,2,4444,58780.0,,4444,58780.0,,172.5,179.0,185.5,16447.75,24341.5,32235.25,mine,Etherium,4
101,15-csves/5.csv,2,TCP,,,223.87825,227.2165,230.55475,454.43300000000005,233.893,220.54,22,321,0,426,9385,2,2,59090,3337.0,,59090,3337.0,,11.0,11.0,11.0,2508.75,4692.5,6876.25,mine,Bitcash,2
65,19-csves/2.csv,4,TCP,,,277.841,277.841,277.841,1111.364,277.841,277.841,40,148,0,128,5154,2,2,51085,14444.0,,51085,14444.0,,10.0,10.0,10.0,370.0,1288.5,2207.0,mine,Monero,5
125,20-csves/5.csv,2,TCP,,,244.882,244.882,244.882,489.764,244.882,244.882,29,425,0,449,13024,2,2,3332,56092.0,,3332,56092.0,,14.25,14.5,14.75,3484.0,6512.0,9540.0,mine,Bitcoin,1
37,7-csves/1.csv,2,TCP,,,374.94675,374.9665,374.98625,749.933,375.006,374.92699999999996,435,1270,1,136,59546,2,2,4444,58780.0,,4444,58780.0,,211.25,217.5,223.75,19633.0,29773.0,39913.0,mine,Etherium,4
375,60-csves/4.csv,2,TCP,,,576.4672499999998,576.4675,576.46775,1152.935,576.4680000000001,576.467,55,330,0,432,23784,2,2,3337,49875.0,,3337,49875.0,,27.25,27.5,27.75,6278.5,11892.0,17505.5,mine,Bitcash,2
580,297-csves/1.csv,16,TCP,UDP,,0.443,30.659000000000002,58.673,657.6139999999999,149.332,0.0,67,363,0,114,7680,13,9,443,39694.0,38526.0,1900,443.0,39694.0,3.0,4.0,5.0,120.0,204.0,375.0,not_mine,,0
788,406-csves/0.csv,47,TCP,UDP,,0.0,0.0,0.03,453.794,104.62299999999999,0.0,99,629,0,86,8581,19,17,123,443.0,32804.0,123,443.0,1900.0,1.0,1.0,3.0,48.0,48.0,124.0,not_mine,,0
748,384-csves/1.csv,98,TCP,UDP,,0.0,36.965,90.1075,4291.292,137.216,0.0,15280,738139,86,1067,16307726,40,38,443,80.0,53.0,443,80.0,53.0,1.0,3.0,11.75,35.5,96.0,1671.0,not_mine,,0
480,59-csves/26.csv,2,TCP,,,593.5674999999999,593.5899999999998,593.6125,1187.1799999999996,593.635,593.545,676,1223,1,134,90784,2,2,56731,4444.0,,56731,4444.0,,327.0,338.0,349.0,30522.0,45392.0,60262.0,mine,Etherium,4
201,33-csves/3.csv,2,TCP,,,208.09799999999998,208.09799999999998,208.09799999999998,416.19599999999997,208.09799999999998,208.09799999999998,34,435,0,333,11338,2,2,52656,3332.0,,3332,52656.0,,15.5,17.0,18.5,3053.5,5669.0,8284.5,mine,Bitcoin,1
67,36-csves/0.csv,171,TCP,UDP,,0.6005,126.20100000000001,227.257,20301.974,284.587,0.0,9221,169063,31,680,6277970,106,72,443,53.0,80.0,443,1900.0,80.0,3.0,19.0,33.0,375.0,2516.0,6906.5,not_mine,,0
364,42-csves/3.csv,8,TCP,,,12.74675,105.833,236.6895,1154.782,365.459,0.0,664,1237,1,135,90203,2,2,4444,58780.0,,4444,58780.0,,6.5,56.5,136.0,343.0,3355.5,13418.25,mine,Etherium,4
509,61-csves/3.csv,2,TCP,,,458.3505,459.32800000000003,460.30550000000005,918.6560000000001,461.283,457.37300000000005,498,1163,1,134,67068,2,2,4444,58780.0,,4444,58780.0,,240.5,249.0,257.5,22709.0,33534.0,44359.0,mine,Etherium,4
46,24-csves/1.csv,489,TCP,UDP,,0.0,13.741,172.326,38705.795,300.089,0.0,12682,213639,42,631,8014556,223,219,443,53.0,80.0,443,53.0,80.0,1.0,8.0,18.0,64.0,511.0,4200.0,not_mine,,0
8,4-csves/0.csv,844,TCP,UDP,ICMP6,0.0,0.327,45.3,21104.006,149.056,0.0,12640,218273,42,642,8126861,190,187,443,80.0,123.0,443,80.0,1900.0,1.0,2.0,8.0,20.0,60.0,703.5,not_mine,,0
675,346-csves/1.csv,829,TCP,UDP,,0.0,0.0,26.555,12521.233999999999,82.609,0.0,12274,589223,121,607,7457944,320,318,443,53.0,80.0,443,53.0,80.0,1.0,1.0,13.0,32.0,130.0,3817.0,not_mine,,0
174,40-csves/5.csv,2,TCP,,,542.6902500000001,542.6905,542.69075,1085.381,542.691,542.69,75,455,0,412,30932,2,2,3333,56490.0,,3333,56490.0,,36.25,37.5,38.75,8398.0,15466.0,22534.0,mine,Litecoin,3
634,77-csves/4.csv,38,TCP,,,3.7575,8.732999999999999,15.26125,424.204,37.471,0.0,291,1283,1,134,39001,2,2,4444,58780.0,,58780,4444.0,,3.0,6.0,10.0,279.0,548.0,1414.25,mine,Etherium,4
